U 36 | F 589824 | FPS 0464 | D 1444 | rR:μσmM 0.55 0.50 0.00 1.00 | ARPS: 0.013 | ADR: 0.106 | F:μσmM 485.2 470.7 20.0 1000.0 | H 1.911 | V 0.023 | pL 0.000 | vL 0.002 | ∇ 0.038
U 37 | F 606208 | FPS 0466 | D 1480 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.010 | ADR: 0.075 | F:μσmM 577.3 469.3 18.0 1000.0 | H 1.914 | V 0.023 | pL 0.005 | vL 0.001 | ∇ 0.024
U 38 | F 622592 | FPS 0483 | D 1513 | rR:μσmM 0.38 0.49 0.00 1.00 | ARPS: 0.013 | ADR: 0.104 | F:μσmM 630.6 467.4 13.0 1000.0 | H 1.922 | V 0.015 | pL 0.002 | vL 0.001 | ∇ 0.023
U 39 | F 638976 | FPS 0484 | D 1547 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.012 | ADR: 0.097 | F:μσmM 592.4 471.1 18.0 1000.0 | H 1.923 | V 0.013 | pL -0.002 | vL 0.001 | ∇ 0.025
U 40 | F 655360 | FPS 0482 | D 1581 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.014 | ADR: 0.117 | F:μσmM 570.0 477.3 19.0 1000.0 | H 1.921 | V 0.016 | pL -0.000 | vL 0.001 | ∇ 0.030
U 41 | F 671744 | FPS 0475 | D 1616 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.009 | ADR: 0.072 | F:μσmM 707.8 441.9 22.0 1000.0 | H 1.925 | V 0.012 | pL 0.003 | vL 0.001 | ∇ 0.025
U 42 | F 688128 | FPS 0464 | D 1651 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.009 | ADR: 0.059 | F:μσmM 619.0 460.0 17.0 1000.0 | H 1.922 | V 0.018 | pL 0.002 | vL 0.002 | ∇ 0.029
U 43 | F 704512 | FPS 0481 | D 1685 | rR:μσmM 0.38 0.49 0.00 1.00 | ARPS: 0.011 | ADR: 0.090 | F:μσmM 632.6 465.0 19.0 1000.0 | H 1.929 | V 0.011 | pL -0.001 | vL 0.002 | ∇ 0.028
U 44 | F 720896 | FPS 0453 | D 1721 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.012 | ADR: 0.090 | F:μσmM 514.2 471.8 22.0 1000.0 | H 1.917 | V 0.018 | pL -0.004 | vL 0.001 | ∇ 0.030
U 45 | F 737280 | FPS 0462 | D 1757 | rR:μσmM 0.38 0.49 0.00 1.00 | ARPS: 0.013 | ADR: 0.103 | F:μσmM 629.8 468.4 15.0 1000.0 | H 1.922 | V 0.013 | pL 0.000 | vL 0.001 | ∇ 0.022
U 46 | F 753664 | FPS 0475 | D 1791 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.020 | ADR: 0.164 | F:μσmM 583.9 480.6 13.0 1000.0 | H 1.922 | V 0.015 | pL 0.001 | vL 0.001 | ∇ 0.024
U 47 | F 770048 | FPS 0469 | D 1826 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.143 | F:μσmM 554.1 479.5 16.0 1000.0 | H 1.919 | V 0.014 | pL -0.000 | vL 0.001 | ∇ 0.027
U 48 | F 786432 | FPS 0474 | D 1861 | rR:μσmM 0.47 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.136 | F:μσmM 552.1 479.1 12.0 1000.0 | H 1.915 | V 0.017 | pL 0.000 | vL 0.001 | ∇ 0.032
U 49 | F 802816 | FPS 0481 | D 1895 | rR:μσmM 0.61 0.49 0.00 1.00 | ARPS: 0.027 | ADR: 0.215 | F:μσmM 410.1 471.0 9.0 1000.0 | H 1.909 | V 0.027 | pL 0.002 | vL 0.002 | ∇ 0.042
U 50 | F 819200 | FPS 0469 | D 1930 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.018 | ADR: 0.153 | F:μσmM 489.4 481.5 11.0 1000.0 | H 1.905 | V 0.024 | pL 0.003 | vL 0.002 | ∇ 0.036
Status saved
U 51 | F 835584 | FPS 0466 | D 1965 | rR:μσmM 0.61 0.49 0.00 1.00 | ARPS: 0.024 | ADR: 0.208 | F:μσmM 410.3 472.1 13.0 1000.0 | H 1.902 | V 0.030 | pL 0.002 | vL 0.002 | ∇ 0.033
U 52 | F 851968 | FPS 0487 | D 1999 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.024 | ADR: 0.192 | F:μσmM 547.4 486.2 7.0 1000.0 | H 1.924 | V 0.014 | pL 0.002 | vL 0.001 | ∇ 0.024
U 53 | F 868352 | FPS 0473 | D 2033 | rR:μσmM 0.61 0.49 0.00 1.00 | ARPS: 0.035 | ADR: 0.263 | F:μσmM 403.2 473.8 7.0 1000.0 | H 1.908 | V 0.025 | pL 0.000 | vL 0.002 | ∇ 0.034
U 54 | F 884736 | FPS 0482 | D 2067 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.023 | ADR: 0.206 | F:μσmM 433.6 478.8 14.0 1000.0 | H 1.914 | V 0.018 | pL -0.003 | vL 0.002 | ∇ 0.032
U 55 | F 901120 | FPS 0451 | D 2104 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.022 | ADR: 0.197 | F:μσmM 462.7 481.1 16.0 1000.0 | H 1.903 | V 0.030 | pL 0.008 | vL 0.002 | ∇ 0.042
U 56 | F 917504 | FPS 0463 | D 2139 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.019 | ADR: 0.162 | F:μσmM 506.5 476.0 14.0 1000.0 | H 1.914 | V 0.020 | pL 0.002 | vL 0.002 | ∇ 0.029
U 57 | F 933888 | FPS 0461 | D 2175 | rR:μσmM 0.57 0.49 0.00 1.00 | ARPS: 0.018 | ADR: 0.148 | F:μσmM 452.9 474.3 15.0 1000.0 | H 1.909 | V 0.026 | pL 0.003 | vL 0.002 | ∇ 0.031
U 58 | F 950272 | FPS 0456 | D 2211 | rR:μσmM 0.47 0.50 0.00 1.00 | ARPS: 0.018 | ADR: 0.150 | F:μσmM 548.1 483.2 12.0 1000.0 | H 1.917 | V 0.016 | pL 0.001 | vL 0.001 | ∇ 0.022
U 59 | F 966656 | FPS 0432 | D 2248 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.022 | ADR: 0.172 | F:μσmM 505.0 480.7 9.0 1000.0 | H 1.912 | V 0.021 | pL 0.003 | vL 0.002 | ∇ 0.029
