U 49 | F 802816 | FPS 0473 | D 2025 | rR:μσmM 0.57 0.50 0.00 1.00 | ARPS: 0.024 | ADR: 0.211 | F:μσmM 447.4 482.4 12.0 1000.0 | H 1.909 | V 0.022 | pL -0.001 | vL 0.002 | ∇ 0.034
U 50 | F 819200 | FPS 0471 | D 2060 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.137 | F:μσmM 504.7 480.7 14.0 1000.0 | H 1.913 | V 0.017 | pL -0.002 | vL 0.002 | ∇ 0.033
Status saved
U 51 | F 835584 | FPS 0479 | D 2094 | rR:μσmM 0.47 0.50 0.00 1.00 | ARPS: 0.019 | ADR: 0.164 | F:μσmM 546.8 484.5 15.0 1000.0 | H 1.920 | V 0.016 | pL 0.001 | vL 0.001 | ∇ 0.027
U 52 | F 851968 | FPS 0475 | D 2129 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.018 | ADR: 0.155 | F:μσmM 550.9 482.6 15.0 1000.0 | H 1.921 | V 0.018 | pL 0.004 | vL 0.001 | ∇ 0.027
U 53 | F 868352 | FPS 0478 | D 2163 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.015 | ADR: 0.132 | F:μσmM 566.6 480.9 14.0 1000.0 | H 1.918 | V 0.015 | pL 0.000 | vL 0.002 | ∇ 0.030
U 54 | F 884736 | FPS 0474 | D 2197 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.017 | ADR: 0.153 | F:μσmM 583.8 480.6 16.0 1000.0 | H 1.922 | V 0.013 | pL 0.001 | vL 0.001 | ∇ 0.023
U 55 | F 901120 | FPS 0478 | D 2232 | rR:μσmM 0.33 0.47 0.00 1.00 | ARPS: 0.018 | ADR: 0.140 | F:μσmM 675.9 458.5 9.0 1000.0 | H 1.927 | V 0.009 | pL -0.000 | vL 0.001 | ∇ 0.023
U 56 | F 917504 | FPS 0477 | D 2266 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.019 | ADR: 0.158 | F:μσmM 504.5 480.5 13.0 1000.0 | H 1.919 | V 0.015 | pL -0.002 | vL 0.002 | ∇ 0.035
U 57 | F 933888 | FPS 0473 | D 2301 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.023 | ADR: 0.190 | F:μσmM 464.8 479.2 12.0 1000.0 | H 1.916 | V 0.019 | pL -0.001 | vL 0.001 | ∇ 0.032
U 58 | F 950272 | FPS 0469 | D 2336 | rR:μσmM 0.38 0.48 0.00 1.00 | ARPS: 0.015 | ADR: 0.135 | F:μσmM 635.3 470.9 15.0 1000.0 | H 1.926 | V 0.009 | pL 0.000 | vL 0.001 | ∇ 0.021
U 59 | F 966656 | FPS 0443 | D 2373 | rR:μσmM 0.67 0.47 0.00 1.00 | ARPS: 0.028 | ADR: 0.237 | F:μσmM 347.2 454.7 11.0 1000.0 | H 1.899 | V 0.031 | pL -0.005 | vL 0.003 | ∇ 0.041
U 60 | F 983040 | FPS 0475 | D 2407 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.028 | ADR: 0.229 | F:μσmM 511.2 488.9 8.0 1000.0 | H 1.920 | V 0.010 | pL -0.004 | vL 0.001 | ∇ 0.027
U 61 | F 999424 | FPS 0461 | D 2443 | rR:μσmM 0.62 0.49 0.00 1.00 | ARPS: 0.027 | ADR: 0.223 | F:μσmM 401.3 470.0 9.0 1000.0 | H 1.904 | V 0.031 | pL 0.004 | vL 0.002 | ∇ 0.039
U 62 | F 1015808 | FPS 0475 | D 2477 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.028 | ADR: 0.236 | F:μσmM 435.0 477.9 12.0 1000.0 | H 1.912 | V 0.019 | pL -0.001 | vL 0.001 | ∇ 0.033
U 63 | F 1032192 | FPS 0478 | D 2512 | rR:μσmM 0.32 0.47 0.00 1.00 | ARPS: 0.013 | ADR: 0.103 | F:μσmM 694.8 447.2 12.0 1000.0 | H 1.927 | V 0.009 | pL 0.002 | vL 0.001 | ∇ 0.024
U 64 | F 1048576 | FPS 0479 | D 2546 | rR:μσmM 0.33 0.47 0.00 1.00 | ARPS: 0.019 | ADR: 0.148 | F:μσmM 674.4 460.5 10.0 1000.0 | H 1.931 | V 0.008 | pL 0.001 | vL 0.001 | ∇ 0.018
U 65 | F 1064960 | FPS 0472 | D 2581 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.020 | ADR: 0.174 | F:μσmM 535.6 480.5 12.0 1000.0 | H 1.923 | V 0.015 | pL -0.001 | vL 0.001 | ∇ 0.030
U 66 | F 1081344 | FPS 0464 | D 2616 | rR:μσmM 0.54 0.50 0.00 1.00 | ARPS: 0.020 | ADR: 0.164 | F:μσmM 482.4 477.8 13.0 1000.0 | H 1.914 | V 0.022 | pL -0.001 | vL 0.003 | ∇ 0.041
U 67 | F 1097728 | FPS 0468 | D 2651 | rR:μσmM 0.57 0.50 0.00 1.00 | ARPS: 0.025 | ADR: 0.207 | F:μσmM 449.9 480.3 11.0 1000.0 | H 1.916 | V 0.022 | pL 0.001 | vL 0.001 | ∇ 0.026
U 68 | F 1114112 | FPS 0470 | D 2686 | rR:μσmM 0.36 0.48 0.00 1.00 | ARPS: 0.013 | ADR: 0.109 | F:μσmM 659.6 455.5 16.0 1000.0 | H 1.926 | V 0.016 | pL 0.005 | vL 0.001 | ∇ 0.022
U 69 | F 1130496 | FPS 0469 | D 2721 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.018 | ADR: 0.161 | F:μσmM 533.7 484.0 16.0 1000.0 | H 1.923 | V 0.016 | pL 0.003 | vL 0.001 | ∇ 0.032
U 70 | F 1146880 | FPS 0455 | D 2757 | rR:μσmM 0.47 0.50 0.00 1.00 | ARPS: 0.019 | ADR: 0.153 | F:μσmM 548.9 482.4 12.0 1000.0 | H 1.922 | V 0.014 | pL -0.000 | vL 0.001 | ∇ 0.026
U 71 | F 1163264 | FPS 0443 | D 2794 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.024 | ADR: 0.203 | F:μσmM 435.3 476.1 10.0 1000.0 | H 1.912 | V 0.022 | pL -0.004 | vL 0.002 | ∇ 0.035
U 72 | F 1179648 | FPS 0461 | D 2829 | rR:μσmM 0.61 0.49 0.00 1.00 | ARPS: 0.026 | ADR: 0.215 | F:μσmM 409.5 472.6 12.0 1000.0 | H 1.909 | V 0.026 | pL -0.000 | vL 0.002 | ∇ 0.032
U 73 | F 1196032 | FPS 0446 | D 2866 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.014 | ADR: 0.115 | F:μσmM 575.8 471.6 14.0 1000.0 | H 1.922 | V 0.018 | pL 0.002 | vL 0.001 | ∇ 0.024
U 74 | F 1212416 | FPS 0416 | D 2905 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.018 | ADR: 0.139 | F:μσmM 442.0 462.7 13.0 1000.0 | H 1.906 | V 0.032 | pL 0.006 | vL 0.002 | ∇ 0.035
U 75 | F 1228800 | FPS 0439 | D 2943 | rR:μσmM 0.63 0.48 0.00 1.00 | ARPS: 0.022 | ADR: 0.180 | F:μσmM 397.7 464.0 12.0 1000.0 | H 1.907 | V 0.030 | pL -0.001 | vL 0.002 | ∇ 0.034
U 76 | F 1245184 | FPS 0430 | D 2981 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.134 | F:μσmM 497.5 474.9 13.0 1000.0 | H 1.909 | V 0.026 | pL 0.004 | vL 0.002 | ∇ 0.032
U 77 | F 1261568 | FPS 0428 | D 3019 | rR:μσmM 0.62 0.48 0.00 1.00 | ARPS: 0.025 | ADR: 0.204 | F:μσmM 397.2 467.3 11.0 1000.0 | H 1.899 | V 0.028 | pL -0.001 | vL 0.002 | ∇ 0.037
U 78 | F 1277952 | FPS 0438 | D 3057 | rR:μσmM 0.66 0.47 0.00 1.00 | ARPS: 0.026 | ADR: 0.208 | F:μσmM 367.0 455.9 11.0 1000.0 | H 1.899 | V 0.031 | pL 0.000 | vL 0.003 | ∇ 0.038
U 79 | F 1294336 | FPS 0449 | D 3093 | rR:μσmM 0.67 0.47 0.00 1.00 | ARPS: 0.028 | ADR: 0.236 | F:μσmM 347.4 454.6 11.0 1000.0 | H 1.895 | V 0.033 | pL -0.003 | vL 0.002 | ∇ 0.034
U 80 | F 1310720 | FPS 0445 | D 3130 | rR:μσmM 0.63 0.48 0.00 1.00 | ARPS: 0.026 | ADR: 0.207 | F:μσmM 398.0 464.3 10.0 1000.0 | H 1.902 | V 0.031 | pL 0.003 | vL 0.002 | ∇ 0.034
U 81 | F 1327104 | FPS 0437 | D 3167 | rR:μσmM 0.60 0.49 0.00 1.00 | ARPS: 0.028 | ADR: 0.219 | F:μσmM 421.0 473.2 8.0 1000.0 | H 1.906 | V 0.024 | pL -0.000 | vL 0.002 | ∇ 0.036
U 82 | F 1343488 | FPS 0423 | D 3206 | rR:μσmM 0.74 0.44 0.00 1.00 | ARPS: 0.038 | ADR: 0.307 | F:μσmM 284.1 424.6 7.0 1000.0 | H 1.883 | V 0.040 | pL 0.000 | vL 0.003 | ∇ 0.036
U 83 | F 1359872 | FPS 0424 | D 3245 | rR:μσmM 0.67 0.47 0.00 1.00 | ARPS: 0.031 | ADR: 0.255 | F:μσmM 346.4 455.3 8.0 1000.0 | H 1.888 | V 0.029 | pL -0.005 | vL 0.003 | ∇ 0.036
U 84 | F 1376256 | FPS 0415 | D 3284 | rR:μσmM 0.73 0.44 0.00 1.00 | ARPS: 0.034 | ADR: 0.278 | F:μσmM 289.9 429.9 9.0 1000.0 | H 1.886 | V 0.041 | pL -0.001 | vL 0.003 | ∇ 0.045
U 85 | F 1392640 | FPS 0416 | D 3324 | rR:μσmM 0.84 0.37 0.00 1.00 | ARPS: 0.035 | ADR: 0.283 | F:μσmM 194.6 355.9 7.0 1000.0 | H 1.851 | V 0.068 | pL 0.003 | vL 0.005 | ∇ 0.054
U 86 | F 1409024 | FPS 0431 | D 3362 | rR:μσmM 0.76 0.43 0.00 1.00 | ARPS: 0.035 | ADR: 0.283 | F:μσmM 273.3 413.4 8.0 1000.0 | H 1.873 | V 0.046 | pL -0.001 | vL 0.004 | ∇ 0.046
