U 53 | F 868352 | FPS 0423 | D 2129 | rR:μσmM 0.70 0.46 0.00 1.00 | ARPS: 0.028 | ADR: 0.229 | F:μσmM 333.2 442.1 13.0 1000.0 | H 1.883 | V 0.035 | pL -0.001 | vL 0.003 | ∇ 0.042
U 54 | F 884736 | FPS 0436 | D 2167 | rR:μσmM 0.67 0.47 0.00 1.00 | ARPS: 0.023 | ADR: 0.183 | F:μσmM 373.7 447.6 11.0 1000.0 | H 1.896 | V 0.028 | pL -0.003 | vL 0.004 | ∇ 0.046
U 55 | F 901120 | FPS 0417 | D 2206 | rR:μσmM 0.67 0.47 0.00 1.00 | ARPS: 0.025 | ADR: 0.196 | F:μσmM 368.4 448.3 10.0 1000.0 | H 1.889 | V 0.033 | pL -0.001 | vL 0.003 | ∇ 0.038
U 56 | F 917504 | FPS 0421 | D 2245 | rR:μσmM 0.73 0.44 0.00 1.00 | ARPS: 0.025 | ADR: 0.205 | F:μσmM 303.8 422.3 11.0 1000.0 | H 1.864 | V 0.049 | pL -0.004 | vL 0.004 | ∇ 0.050
U 57 | F 933888 | FPS 0406 | D 2285 | rR:μσmM 0.85 0.36 0.00 1.00 | ARPS: 0.028 | ADR: 0.219 | F:μσmM 196.3 345.8 9.0 1000.0 | H 1.827 | V 0.078 | pL -0.008 | vL 0.005 | ∇ 0.062
U 58 | F 950272 | FPS 0442 | D 2322 | rR:μσmM 0.81 0.39 0.00 1.00 | ARPS: 0.035 | ADR: 0.283 | F:μσmM 220.7 376.9 8.0 1000.0 | H 1.860 | V 0.047 | pL -0.006 | vL 0.003 | ∇ 0.051
U 59 | F 966656 | FPS 0418 | D 2362 | rR:μσmM 0.82 0.38 0.00 1.00 | ARPS: 0.034 | ADR: 0.274 | F:μσmM 207.1 368.8 8.0 1000.0 | H 1.835 | V 0.068 | pL -0.003 | vL 0.004 | ∇ 0.063
U 60 | F 983040 | FPS 0389 | D 2404 | rR:μσmM 0.91 0.29 0.00 1.00 | ARPS: 0.042 | ADR: 0.346 | F:μσmM 118.4 279.5 8.0 1000.0 | H 1.750 | V 0.132 | pL -0.008 | vL 0.006 | ∇ 0.074
U 61 | F 999424 | FPS 0395 | D 2445 | rR:μσmM 0.92 0.27 0.00 1.00 | ARPS: 0.044 | ADR: 0.360 | F:μσmM 107.7 267.1 7.0 1000.0 | H 1.722 | V 0.163 | pL -0.004 | vL 0.006 | ∇ 0.071
U 62 | F 1015808 | FPS 0360 | D 2491 | rR:μσmM 0.97 0.17 0.00 1.00 | ARPS: 0.044 | ADR: 0.359 | F:μσmM 60.9 170.8 8.0 1000.0 | H 1.607 | V 0.237 | pL -0.002 | vL 0.009 | ∇ 0.091
U 63 | F 1032192 | FPS 0342 | D 2539 | rR:μσmM 0.98 0.14 0.00 1.00 | ARPS: 0.046 | ADR: 0.386 | F:μσmM 47.2 137.4 8.0 1000.0 | H 1.368 | V 0.372 | pL -0.007 | vL 0.011 | ∇ 0.111
U 64 | F 1048576 | FPS 0313 | D 2591 | rR:μσmM 0.99 0.07 0.00 1.00 | ARPS: 0.050 | ADR: 0.416 | F:μσmM 31.0 73.1 7.0 1000.0 | H 1.132 | V 0.496 | pL -0.027 | vL 0.011 | ∇ 0.126
U 65 | F 1064960 | FPS 0306 | D 2645 | rR:μσmM 1.00 0.04 0.00 1.00 | ARPS: 0.054 | ADR: 0.456 | F:μσmM 23.3 37.7 7.0 1000.0 | H 0.956 | V 0.613 | pL -0.035 | vL 0.009 | ∇ 0.101
U 66 | F 1081344 | FPS 0305 | D 2698 | rR:μσmM 1.00 0.00 1.00 1.00 | ARPS: 0.059 | ADR: 0.488 | F:μσmM 19.7 8.0 7.0 58.0 | H 0.825 | V 0.671 | pL -0.012 | vL 0.007 | ∇ 0.086
U 67 | F 1097728 | FPS 0307 | D 2752 | rR:μσmM 1.00 0.00 1.00 1.00 | ARPS: 0.059 | ADR: 0.493 | F:μσmM 19.3 7.4 7.0 80.0 | H 0.792 | V 0.679 | pL -0.007 | vL 0.006 | ∇ 0.089
U 68 | F 1114112 | FPS 0307 | D 2805 | rR:μσmM 1.00 0.00 1.00 1.00 | ARPS: 0.061 | ADR: 0.505 | F:μσmM 18.5 6.8 7.0 59.0 | H 0.747 | V 0.688 | pL -0.014 | vL 0.005 | ∇ 0.058
U 69 | F 1130496 | FPS 0303 | D 2859 | rR:μσmM 1.00 0.00 1.00 1.00 | ARPS: 0.062 | ADR: 0.512 | F:μσmM 18.1 6.1 7.0 49.0 | H 0.709 | V 0.697 | pL -0.014 | vL 0.004 | ∇ 0.060
U 70 | F 1146880 | FPS 0306 | D 2913 | rR:μσmM 1.00 0.00 1.00 1.00 | ARPS: 0.064 | ADR: 0.526 | F:μσmM 17.4 5.7 7.0 58.0 | H 0.711 | V 0.713 | pL -0.002 | vL 0.003 | ∇ 0.069
U 71 | F 1163264 | FPS 0306 | D 2966 | rR:μσmM 1.00 0.00 1.00 1.00 | ARPS: 0.061 | ADR: 0.511 | F:μσmM 18.0 5.3 7.0 40.0 | H 0.775 | V 0.709 | pL 0.004 | vL 0.003 | ∇ 0.057
